P,Ag,Al,Fe,K,Li,Mo,Na,Nb,V,W,Zn,Density,Tg,conductivity @30°C,EDC / kJ mol-1,source_file,avg_radius,avg_charge,avg_field_strength
30.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,10.0,0.0,0.0,0.0,2.83,386.0,1.5848931924611122e-07,,data.xlsx,0.7900000000000001,2.6,12.185216028091823
55.0,0.0,10.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,2.54,413.0,5.93e-10,65.6098,data.xlsx,0.6190000000000001,3.4,20.44872613109027
50.0,0.0,10.0,0.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,0.0,2.67,439.0,6.21e-10,63.6801,data.xlsx,0.632,3.4,19.3277757545321
45.0,0.0,10.0,0.0,0.0,0.0,0.0,35.0,10.0,0.0,0.0,0.0,2.81,476.0,1.58e-09,59.8207,data.xlsx,0.6450000000000001,3.4,18.20682537797393
40.0,0.0,10.0,0.0,0.0,0.0,0.0,35.0,15.0,0.0,0.0,0.0,2.94,512.0,2.1e-09,57.891,data.xlsx,0.6579999999999999,3.4,17.085875001415758
35.0,0.0,10.0,0.0,0.0,0.0,0.0,35.0,20.0,0.0,0.0,0.0,3.09,555.0,3.44e-09,56.92615,data.xlsx,0.671,3.4,15.964924624857586
30.0,0.0,10.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,3.23,573.0,2.3e-09,56.92615,data.xlsx,0.684,3.4,14.843974248299414
25.0,0.0,10.0,0.0,0.0,0.0,0.0,35.0,30.0,0.0,0.0,0.0,3.38,578.0,1.34e-09,57.891,data.xlsx,0.6970000000000001,3.4,13.723023871741242
20.0,0.0,10.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,3.53,,,,data.xlsx,0.71,3.4,12.60207349518307
55.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,10.0,2.56,272.0,1.88e-12,82.01225,data.xlsx,0.64,3.3,19.74596049803301
50.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,10.0,2.7,315.0,2.36e-11,75.2583,data.xlsx,0.6530000000000001,3.3,18.625010121474837
45.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,0.0,0.0,10.0,2.85,352.0,1.21e-10,68.50435,data.xlsx,0.666,3.3,17.504059744916667
40.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,15.0,0.0,0.0,10.0,3.01,430.0,1.04e-09,61.7504,data.xlsx,0.679,3.3,16.383109368358493
35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,0.0,0.0,10.0,3.17,504.0,2.13e-09,58.85585,data.xlsx,0.6920000000000001,3.3,15.262158991800323
30.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,10.0,3.35,541.0,2.64e-09,56.92615,data.xlsx,0.705,3.3,14.141208615242151
25.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,30.0,0.0,0.0,10.0,3.52,567.0,9.86e-10,58.85585,data.xlsx,0.7180000000000001,3.3,13.020258238683978
20.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,10.0,3.71,566.0,4.14e-10,60.78555,data.xlsx,0.7310000000000001,3.3,11.899307862125806
15.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,40.0,0.0,0.0,10.0,3.93,,2.34e-11,67.53949999999999,data.xlsx,0.7440000000000001,3.3,10.778357485567636
58.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,0.0,0.0,2.76,551.0,2.95e-08,46.99,data.xlsx,0.44624,5.0,27.38962415786054
50.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.6,0.0,0.0,2.79,475.0,6.38e-08,46.24,data.xlsx,0.45936000000000005,5.0,25.95632464310006
41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.4,0.0,0.0,2.81,351.0,9.37e-07,41.95,data.xlsx,0.47344,5.0,24.418149554088817
31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,0.0,0.0,2.85,290.0,3.68e-05,39.69,data.xlsx,0.4894400000000001,5.0,22.67022331657604
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,2.88,254.0,2.63e-05,36.35,data.xlsx,0.5048,5.0,20.992214128563774
10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,0.0,0.0,2.93,234.0,0.000103,33.32,data.xlsx,0.5227200000000001,5.0,19.034536742549463
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,2.85,460.0,,54.031600000000005,data.xlsx,0.46,5.0,25.88640759359955
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,2.88,373.0,,54.031600000000005,data.xlsx,0.4760000000000001,5.0,24.13848135608677
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,2.91,306.0,,49.20735,data.xlsx,0.49200000000000005,5.0,22.390555118573992
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,2.94,261.0,,43.41825,data.xlsx,0.508,5.0,20.642628881061217
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,2.97,252.0,,39.55885,data.xlsx,0.5160000000000001,5.0,19.768665762304828
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,3.01,246.0,,35.69945,data.xlsx,0.524,5.0,18.894702643548438
49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3,0.0,0.0,2.82,448.0,,32.8049,data.xlsx,0.46048,5.0,25.83396980647417
41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.9,0.0,0.0,2.85,352.0,,,data.xlsx,0.4741458541458542,5.0,24.341038242751594
47.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.37,0.0,0.0,2.778,468.0,,33.769749999999995,data.xlsx,0.46379200000000004,5.0,25.47214907530902
38.9,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,51.4,0.0,0.0,2.84,369.0,1.45e-07,44.85,data.xlsx,0.48745999999999995,4.806,22.993421377324907
42.3,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,39.3,0.0,0.0,2.87,382.0,1.12e-08,49.08,data.xlsx,0.49072000000000005,4.632,22.73315378200415
44.2,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,28.8,0.0,0.0,2.89,420.0,6.59e-10,55.09,data.xlsx,0.49628000000000005,4.46,22.22051980871251
37.9,0.0,0.0,40.4,0.0,0.0,0.0,0.0,0.0,21.7,0.0,0.0,3.05,474.0,1.17e-08,52.64,data.xlsx,0.51976,4.192,19.803103553170683
39.5,0.0,0.0,47.5,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,3.35,575.0,8.1e-06,29.54,data.xlsx,0.5243000000000001,4.05,19.385370157594192
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,3.01,246.0,,32.8049,data.xlsx,0.524,5.0,18.894702643548438
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,3.04,269.0,,37.62915,data.xlsx,0.529,4.9,18.403574760746654
10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,3.01,300.0,,38.594,data.xlsx,0.534,4.8,17.912446877944873
18.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,3.03,307.0,,41.48855,data.xlsx,0.5212,4.8,19.310787867955096
20.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,3.02,315.0,,43.41825,data.xlsx,0.518,4.8,19.660373115457652
30.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,2.98,343.0,,51.13705,data.xlsx,0.502,4.8,21.40829935297043
35.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0.0,2.99,377.0,,52.1019,data.xlsx,0.49650000000000005,4.75,22.036698530325925
